City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
304,Ambulu,ID,76.28,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
306,Sao Filipe,CV,75.02,overcast clouds,14.8961,-24.4956,Hotel Xaguate
308,Gigmoto,PH,79.61,broken clouds,13.7796,124.39,Cj's Travellers Inn
311,Iracoubo,GF,82.69,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
312,Faanui,PF,80.56,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
313,Aquiraz,BR,86.09,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
316,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
319,Kavieng,PG,81.95,broken clouds,-2.5744,150.7967,Nusa Island Retreat
320,Porbandar,IN,85.98,clear sky,21.6422,69.6093,Lords Inn Porbandar
322,Lucea,JM,84.06,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
323,Pedasi,PA,83.39,overcast clouds,7.5333,-80.0333,Selina Pedasi
324,Uchiza,PE,80.69,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
327,Harper,LR,84.87,overcast clouds,4.375,-7.7169,Screensaver
329,Vung Tau,VN,81.18,overcast clouds,10.346,107.0843,Seaside Resort
331,Khowst,AF,79.81,clear sky,33.3833,69.8833,وچه خوړه،Wacha Khwara
332,Bocaiuva,BR,83.91,clear sky,-17.1078,-43.815,Hotel Maxim's
344,Cotonou,BJ,87.78,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
350,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
365,Monzon,ES,76.8,overcast clouds,41.9108,0.1941,Hotel Masmonzón
366,Bam,IR,84.38,scattered clouds,29.106,58.357,Bam Tourist Hotel
368,Progreso,MX,89.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
370,Palu,ID,76.62,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
372,Dawei,MM,79.47,overcast clouds,14.0833,98.2,Hotel Dawei
374,Funadhoo,MV,86.34,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
375,Toccoa,US,76.06,clear sky,34.5773,-83.3324,Quality Inn
376,Sabang,ID,84.78,overcast clouds,5.8933,95.3214,Hotel Citra
382,Daru,PG,78.84,moderate rain,-9.0763,143.2092,Daru Lodge
384,Sola,VU,81.61,broken clouds,-13.8833,167.55,Leumerus Bungalows
385,Redlands,US,81.93,haze,34.0556,-117.1825,Dynasty Suites Redlands
387,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
389,Kalmunai,LK,83.05,few clouds,7.4167,81.8167,VS Villa
392,Victoria,HK,78.19,overcast clouds,22.2855,114.1577,Mini Hotel Central
394,Vanimo,PG,77.05,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
403,Tuy Hoa,VN,77.59,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
407,Caraballeda,VE,87.85,broken clouds,10.6112,-66.8522,Hotel 15 Letras
409,Meulaboh,ID,80.55,overcast clouds,4.1363,96.1285,Kost Pria
411,Ondjiva,AO,81.7,clear sky,-17.0667,15.7333,COMBUESA
413,San Patricio,US,82.9,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
414,Maragogi,BR,81.88,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
415,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
416,Antalaha,MG,75.47,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
417,Porto Walter,BR,80.24,broken clouds,-8.2686,-72.7439,Secretaria de saúde
418,Belmonte,BR,81.41,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
419,Oranjestad,AW,87.75,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
420,Ambon,ID,82.26,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
427,Itarema,BR,82.54,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
434,Guaymas,MX,79.88,clear sky,27.9333,-110.9,"Holiday Inn Express Guaymas, an IHG Hotel"
435,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
439,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
444,Bhatkal,IN,83.82,overcast clouds,13.9667,74.5667,Nilawar Palace
448,Sechura,PE,76.44,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
449,Epe,NG,85.69,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
453,Corsicana,US,81.57,overcast clouds,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
454,Kandrian,PG,77.0,light rain,-6.2167,149.55,Kandrian Station
457,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
461,Valle De Allende,MX,78.84,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
467,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
474,Chabahar,IR,87.13,broken clouds,25.2919,60.643,هتل گدروشیا
475,Abu Kamal,SY,83.26,light rain,34.4506,40.9171,محطة التلفاز
478,Hobyo,SO,85.05,broken clouds,5.3505,48.5268,Iftin hotel hobyo
480,Chirongui,YT,82.33,light rain,-12.9319,45.1483,La Villa Mahatsara
481,Isla Vista,US,80.29,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
484,Baghdad,IQ,87.19,clear sky,33.3406,44.4009,Baghdad Hotel
485,Koson,UZ,80.92,broken clouds,39.0375,65.585,Jamshid Orziev ning uyi
489,Cabiraoan,PH,79.18,broken clouds,18.3238,122.086,Bry and Kat Resort
490,Formosa,AR,76.98,few clouds,-26.1775,-58.1781,Asterión Hotel
493,Kupang,ID,77.88,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
495,Elizabethtown,US,76.77,clear sky,37.694,-85.8591,"Motel 6 Elizabethtown, KY"
496,Andros Town,BS,82.36,clear sky,24.7,-77.7667,Hanks place
505,Benidorm,ES,79.59,overcast clouds,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
508,Turan,VN,80.58,scattered clouds,16.0678,108.2208,Grand Mercure Danang
510,Devgarh,IN,89.17,clear sky,25.5333,73.9,Deogarh Mahal
511,Bereda,ES,75.15,scattered clouds,43.2686,-7.5406,Pazo de Verdes
514,Roebourne,AU,77.45,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
516,Barreirinhas,BR,85.3,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
520,Kavaratti,IN,85.75,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
527,Pangai,TO,80.8,light rain,-19.8,-174.35,Ha'apai Beach Resort
530,Ures,MX,84.22,scattered clouds,29.4333,-110.4,Hacienda Quinta Napoles
534,Ferreira Do Alentejo,PT,80.19,few clouds,38.05,-8.0333,Herdade da Serra
536,Puerto Berrio,CO,88.52,overcast clouds,6.4916,-74.4033,Hotel Central
539,Manicore,BR,87.84,broken clouds,-5.8092,-61.3003,Hotel Durval
